"Player","BirthDate","BirthCity","BirthState","HighSchoolCity","HighSchoolState","College","BirthLat","BirthLong","HSLat","HSLong","CollegeNameGood","CollegeLat","CollegeLong","birthCityState","hsCityState","CityCount","HighSchoolCount","CollegeCount","BirthCountry","HighSchoolCountry","BirthContinent","HighSchoolContinent","Team1","Team2","Team3","Team4","Team5","Team6","Team7","Team8","Team9","Team10","Team11","Team12","Team13","Team14","Team15","Team16","Team1_Lat","Team1_Long","Team2_Lat","Team2_Long","Team3_Lat","Team3_Long","Team4_Lat","Team4_Long","Team5_Lat","Team5_Long","Team6_Lat","Team6_Long","Team7_Lat","Team7_Long","Team8_Lat","Team8_Long","Team9_Lat","Team9_Long","Team10_Lat","Team10_Long","Team11_Lat","Team11_Long","Team12_Lat","Team12_Long","Team13_Lat","Team13_Long","Team14_Lat","Team14_Long","Team15_Lat","Team15_Long","Team16_Lat","Team16_Long","FirstYear","LastYear"
"A.C. Green","October 4, 1963","Portland","Oregon","Portland","Oregon","Oregon State University",45.52345,-122.67621,45.52345,-122.67621,"Oregon State University",44.04598,-123.07046,"Portland Oregon","Portland Oregon",16,16,24,"United States of America","United States of America","Americas","Americas","Los Angeles California","Phoenix Arizona","Dallas Texas","Los Angeles California","Miami Florida","","","","","","","","","","","",34.05223,-118.24368,33.44838,-112.07404,32.78306,-96.80667,34.05223,-118.24368,25.77427,-80.19366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1985-86","2000-01"
"A.J. Bramlett","January 10, 1977","Dekalb","Illinois","Albuquerque","New Mexico","University of Arizona",41.89353,-88.77031,35.08449,-106.65114,"University of Arizona",32.23188,-110.95347,"Dekalb Illinois","Albuquerque New Mexico",1,2,42,"United States of America","United States of America","Americas","Americas","Cleveland Ohio","","","","","","","","","","","","","","","",41.4995,-81.69541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1999-00","1999-00"
"A.J. English","July 11, 1967","Wilmington","Delaware","Wilmington","Delaware","Virginia Union University",39.74595,-75.54659,39.74595,-75.54659,"Virginia Union University",37.56196,-77.45039,"Wilmington Delaware","Wilmington Delaware",4,2,7,"United States of America","United States of America","Americas","Americas","Washington District of Columbia","","","","","","","","","","","","","","","",38.89511,-77.03637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990-91","1991-92"
"A.J. Guyton","February 12, 1978","Peoria","Illinois","Peoria","Illinois","Indiana University",40.69365,-89.58899,40.69365,-89.58899,"Indiana University",40.41226,-86.93668,"Peoria Illinois","Peoria Illinois",7,5,55,"United States of America","United States of America","Americas","Americas","Chicago Illinois","Oakland California","","","","","","","","","","","","","","",41.85003,-87.65005,37.80437,-122.2708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-01","2002-03"
"A.J. Price","October 7, 1986","Orange","New Jersey","Amityville","New York","University of Connecticut",40.76732,-74.20487,40.6976,-73.42512,"University of Connecticut",41.31121,-72.92649,"Orange New Jersey","Amityville New York",4,3,34,"United States of America","United States of America","Americas","Americas","Indianapolis Indiana","Washington District of Columbia","Minneapolis Minnesota","","","","","","","","","","","","","",39.76838,-86.15804,38.89511,-77.03637,44.97997,-93.26384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10","2013-14"
"A.J. Wynder","September 11, 1964","New York","New York","Rockville Centre","New York","Fairfield University",40.71427,-74.00597,40.65871,-73.64124,"Fairfield University",41.16065,-73.25761,"New York New York","Rockville Centre New York",205,6,2,"United States of America","United States of America","Americas","Americas","Boston Massachusetts","","","","","","","","","","","","","","","",42.35843,-71.05977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990-91","1990-91"
"A.W. Holt","August 26, 1946","none","none","none","none","Jackson State University",NA,NA,NA,NA,"Jackson State University",42.18556,-122.69306,"none none","none none",677,684,14,"none","none","none","none","Chicago Illinois","","","","","","","","","","","","","","","",41.85003,-87.65005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970-71","1970-71"
"Aaron Brooks","January 14, 1985","Seattle","Washington","Seattle","Washington","University of Oregon",47.60621,-122.33207,47.60621,-122.33207,"University of Oregon",44.04598,-123.07046,"Seattle Washington","Seattle Washington",22,23,20,"United States of America","United States of America","Americas","Americas","Houston Texas","Phoenix Arizona","Sacramento California","Houston Texas","Houston Texas","Denver Colorado","","","","","","","","","","",29.76328,-95.36327,33.44838,-112.07404,38.58157,-121.4944,29.76328,-95.36327,29.76328,-95.36327,39.73915,-104.9847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-08","2013-14"
"Aaron Gray","December 7, 1984","Tarzana","California","Emmaus","Pennsylvania","University of Pittsburgh",34.17334,-118.55397,40.53954,-75.49685,"University of Pittsburgh",40.44285,-79.95922,"Tarzana California","Emmaus Pennsylvania",1,1,17,"United States of America","United States of America","Americas","Americas","Chicago Illinois","New Orleans Louisiana","Toronto Canada","Sacramento California","","","","","","","","","","","","",41.85003,-87.65005,29.95465,-90.07507,43.70011,-79.4163,38.58157,-121.4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-08","2013-14"
"Aaron James","October 5, 1952","New Orleans","Louisiana","New Orleans","Louisiana","Grambling State University",29.95465,-90.07507,29.95465,-90.07507,"Grambling State University",32.52425,-92.71599,"New Orleans Louisiana","New Orleans Louisiana",25,15,12,"United States of America","United States of America","Americas","Americas","New Orleans Louisiana","","","","","","","","","","","","","","","",29.95465,-90.07507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1974-75","1978-79"
"Aaron McKie","October 2, 1972","Philadelphia","Pennsylvania","Philadelphia","Pennsylvania","Temple University",39.95234,-75.16379,39.95234,-75.16379,"Temple University",39.98095,-75.15296,"Philadelphia Pennsylvania","Philadelphia Pennsylvania",96,77,33,"United States of America","United States of America","Americas","Americas","Portland Oregon","Detroit Michigan","Detroit Michigan","Philadelphia Pennsylvania","Los Angeles California","","","","","","","","","","","",45.52345,-122.67621,42.33143,-83.04575,42.33143,-83.04575,39.95234,-75.16379,34.05223,-118.24368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1994-95","2006-07"
"Aaron Miles","April 13, 1983","Portland","Oregon","Portland","Oregon","University of Kansas",45.52345,-122.67621,45.52345,-122.67621,"University of Kansas",38.8134,-97.60949,"Portland Oregon","Portland Oregon",16,16,60,"United States of America","United States of America","Americas","Americas","Oakland California","","","","","","","","","","","","","","","",37.80437,-122.2708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005-06","2005-06"
"Aaron Swinson","January 9, 1971","Brunswick","Georgia","Brunswick","Georgia","Auburn University",31.25884,-81.46621,31.25884,-81.46621,"Auburn University",32.60208,-85.48495,"Brunswick Georgia","Brunswick Georgia",1,2,18,"United States of America","United States of America","Americas","Americas","Phoenix Arizona","","","","","","","","","","","","","","","",33.44838,-112.07404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1994-95","1994-95"
