"","Player","Lat","Long","Type"
"1","",0,0,""
"2","A.C. Green",45.4691,-122.5535,"Birth"
"3","A.C. Green",45.4691,-122.5535,"High School"
"4","A.C. Green",44.04598,-123.07046,"College"
"5","A.C. Green",34.05223,-118.24368,"NBA"
"6","A.C. Green",33.44838,-112.07404,"NBA"
"7","A.C. Green",32.78306,-96.80667,"NBA"
"8","A.C. Green",34.05223,-118.24368,"NBA"
"9","A.C. Green",25.77427,-80.19366,"NBA"
"21","A.J. Bramlett",41.8963,-88.7442,"Birth"
"22","A.J. Bramlett",35.0441,-106.8904,"High School"
"23","A.J. Bramlett",32.23188,-110.95347,"College"
"24","A.J. Bramlett",41.4995,-81.69541,"NBA"
"40","A.J. English",39.7976,-75.5392,"Birth"
"41","A.J. English",39.7976,-75.5392,"High School"
"42","A.J. English",37.56196,-77.45039,"College"
"43","A.J. English",38.89511,-77.03637,"NBA"
"59","A.J. Guyton",40.6999,-89.5951,"Birth"
"60","A.J. Guyton",40.6999,-89.5951,"High School"
"61","A.J. Guyton",40.41226,-86.93668,"College"
"62","A.J. Guyton",41.85003,-87.65005,"NBA"
"63","A.J. Guyton",37.80437,-122.2708,"NBA"
"78","A.J. Price",40.7709,-74.2369,"Birth"
"79","A.J. Price",40.6862,-73.4123,"High School"
"80","A.J. Price",41.31121,-72.92649,"College"
"81","A.J. Price",39.76838,-86.15804,"NBA"
"82","A.J. Price",38.89511,-77.03637,"NBA"
"83","A.J. Price",44.97997,-93.26384,"NBA"
"97","A.J. Wynder",40.8424,-73.8556,"Birth"
"98","A.J. Wynder",40.6659,-73.6395,"High School"
"99","A.J. Wynder",41.16065,-73.25761,"College"
"100","A.J. Wynder",42.35843,-71.05977,"NBA"
"118","A.W. Holt",42.18556,-122.69306,"College"
"119","A.W. Holt",41.85003,-87.65005,"NBA"
"135","Aaron Brooks",47.6026,-122.3284,"Birth"
"136","Aaron Brooks",47.6026,-122.3284,"High School"
"137","Aaron Brooks",44.04598,-123.07046,"College"
"138","Aaron Brooks",29.76328,-95.36327,"NBA"
"139","Aaron Brooks",33.44838,-112.07404,"NBA"
"140","Aaron Brooks",38.58157,-121.4944,"NBA"
"141","Aaron Brooks",29.76328,-95.36327,"NBA"
"142","Aaron Brooks",29.76328,-95.36327,"NBA"
"143","Aaron Brooks",39.73915,-104.9847,"NBA"
"154","Aaron Gray",34.1553,-118.5476,"Birth"
"155","Aaron Gray",40.5189,-75.5013,"High School"
"156","Aaron Gray",40.44285,-79.95922,"College"
"157","Aaron Gray",41.85003,-87.65005,"NBA"
"158","Aaron Gray",29.95465,-90.07507,"NBA"
"159","Aaron Gray",43.70011,-79.4163,"NBA"
"160","Aaron Gray",38.58157,-121.4944,"NBA"
"173","Aaron James",29.9589,-90.1568,"Birth"
"174","Aaron James",29.9589,-90.1568,"High School"
"175","Aaron James",32.52425,-92.71599,"College"
"176","Aaron James",29.95465,-90.07507,"NBA"
"192","Aaron McKie",39.9524,-75.1653,"Birth"
"193","Aaron McKie",39.9524,-75.1653,"High School"
"194","Aaron McKie",39.98095,-75.15296,"College"
"195","Aaron McKie",45.52345,-122.67621,"NBA"
"196","Aaron McKie",42.33143,-83.04575,"NBA"
"197","Aaron McKie",42.33143,-83.04575,"NBA"
"198","Aaron McKie",39.95234,-75.16379,"NBA"
"199","Aaron McKie",34.05223,-118.24368,"NBA"
"211","Aaron Miles",45.4691,-122.5535,"Birth"
"212","Aaron Miles",45.4691,-122.5535,"High School"
"213","Aaron Miles",38.8134,-97.60949,"College"
"214","Aaron Miles",37.80437,-122.2708,"NBA"
"230","Aaron Swinson",31.1823,-81.4926,"Birth"
"231","Aaron Swinson",31.1823,-81.4926,"High School"
"232","Aaron Swinson",32.60208,-85.48495,"College"
"233","Aaron Swinson",33.44838,-112.07404,"NBA"
"249","Aaron Williams",42.0562,-87.7011,"Birth"
"250","Aaron Williams",42.0678,-88.0185,"High School"
"251","Aaron Williams",39.14978,-84.478,"College"
"252","Aaron Williams",40.76078,-111.89105,"NBA"
"253","Aaron Williams",43.0389,-87.90647,"NBA"
"254","Aaron Williams",39.73915,-104.9847,"NBA"
"255","Aaron Williams",49.24966,-123.11934,"NBA"
"256","Aaron Williams",47.60621,-122.33207,"NBA"
"257","Aaron Williams",38.89511,-77.03637,"NBA"
"258","Aaron Williams",40.83399,-74.09709,"NBA"
"259","Aaron Williams",43.70011,-79.4163,"NBA"
"260","Aaron Williams",43.70011,-79.4163,"NBA"
"261","Aaron Williams",29.95465,-90.07507,"NBA"
"262","Aaron Williams",34.05223,-118.24368,"NBA"
"268","Abdul Jeelani",35.6629,-89.1089,"Birth"
"269","Abdul Jeelani",42.6929,-87.8043,"High School"
"270","Abdul Jeelani",42.6476,-87.85514,"College"
"271","Abdul Jeelani",45.52345,-122.67621,"NBA"
"272","Abdul Jeelani",32.78306,-96.80667,"NBA"
"287","Acie Earl",40.6999,-89.5951,"Birth"
"288","Acie Earl",41.487,-90.4773,"High School"
"289","Acie Earl",41.65502,-91.55684,"College"
"290","Acie Earl",42.35843,-71.05977,"NBA"
"291","Acie Earl",43.70011,-79.4163,"NBA"
"292","Acie Earl",43.70011,-79.4163,"NBA"
"293","Acie Earl",43.0389,-87.90647,"NBA"
"306","Acie Law",32.7825,-96.8207,"Birth"
"307","Acie Law",32.7825,-96.8207,"High School"
"308","Acie Law",30.62798,-96.33441,"College"
"309","Acie Law",33.749,-84.38798,"NBA"
"310","Acie Law",37.80437,-122.2708,"NBA"
"311","Acie Law",35.22709,-80.84313,"NBA"
"312","Acie Law",41.85003,-87.65005,"NBA"
"313","Acie Law",35.14953,-90.04898,"NBA"
"314","Acie Law",37.80437,-122.2708,"NBA"
"325","Adam Harrington",42.6906,-72.5832,"Birth"
"326","Adam Harrington",42.6906,-72.5832,"High School"
"327","Adam Harrington",32.60208,-85.48495,"College"
"328","Adam Harrington",32.78306,-96.80667,"NBA"
"329","Adam Harrington",39.73915,-104.9847,"NBA"
"344","Adam Keefe",33.7011,-117.797,"Birth"
"345","Adam Keefe",33.7011,-117.797,"High School"
"346","Adam Keefe",37.42716,-122.17024,"College"
"347","Adam Keefe",33.749,-84.38798,"NBA"
"348","Adam Keefe",40.76078,-111.89105,"NBA"
"349","Adam Keefe",37.80437,-122.2708,"NBA"
"363","Adam Morrison",47.1294,-104.8734,"Birth"
"364","Adam Morrison",47.6567,-117.3785,"High School"
"365","Adam Morrison",47.66573,-117.40244,"College"
"366","Adam Morrison",35.22709,-80.84313,"NBA"
"367","Adam Morrison",35.22709,-80.84313,"NBA"
"368","Adam Morrison",34.05223,-118.24368,"NBA"
"383","Adonal Foyle",42.8175,-75.5483,"High School"
"384","Adonal Foyle",42.81729,-75.53573,"College"
"385","Adonal Foyle",37.80437,-122.2708,"NBA"
"386","Adonal Foyle",28.53834,-81.37924,"NBA"
"387","Adonal Foyle",28.53834,-81.37924,"NBA"
"388","Adonal Foyle",35.14953,-90.04898,"NBA"
"401","Adonis Jordan",40.8424,-73.8556,"Birth"
"402","Adonis Jordan",34.0396,-118.2661,"High School"
"403","Adonis Jordan",38.8134,-97.60949,"College"
"404","Adonis Jordan",39.73915,-104.9847,"NBA"
"405","Adonis Jordan",43.0389,-87.90647,"NBA"
"420","Adonis Thomas",35.185,-90.0936,"Birth"
"421","Adonis Thomas",35.185,-90.0936,"High School"
"422","Adonis Thomas",35.1187,-89.93731,"College"
"423","Adonis Thomas",28.53834,-81.37924,"NBA"
"424","Adonis Thomas",39.95234,-75.16379,"NBA"
"439","Adrian Branch",38.8749,-77.0325,"Birth"
"440","Adrian Branch",38.9545,-76.9443,"High School"
"441","Adrian Branch",39.32898,-76.62057,"College"
"442","Adrian Branch",34.05223,-118.24368,"NBA"
"443","Adrian Branch",40.83399,-74.09709,"NBA"
"444","Adrian Branch",45.52345,-122.67621,"NBA"
"445","Adrian Branch",44.97997,-93.26384,"NBA"
"458","Adrian Caldwell",31.3081,-96.8931,"Birth"
"459","Adrian Caldwell",27.7479,-97.4435,"High School"
"460","Adrian Caldwell",29.87938,-93.92684,"College"
"461","Adrian Caldwell",29.76328,-95.36327,"NBA"
"462","Adrian Caldwell",39.76838,-86.15804,"NBA"
"463","Adrian Caldwell",40.83399,-74.09709,"NBA"
"464","Adrian Caldwell",39.95234,-75.16379,"NBA"
"465","Adrian Caldwell",32.78306,-96.80667,"NBA"
"477","Adrian Dantley",38.8749,-77.0325,"Birth"
"478","Adrian Dantley",38.9545,-76.9443,"High School"
"479","Adrian Dantley",41.7031,-86.23917,"College"
"480","Adrian Dantley",42.88645,-78.87837,"NBA"
"481","Adrian Dantley",39.76838,-86.15804,"NBA"
"482","Adrian Dantley",34.05223,-118.24368,"NBA"
"483","Adrian Dantley",40.76078,-111.89105,"NBA"
"484","Adrian Dantley",42.33143,-83.04575,"NBA"
"485","Adrian Dantley",32.78306,-96.80667,"NBA"
"486","Adrian Dantley",43.0389,-87.90647,"NBA"
"496","Adrian Griffin",37.7083,-97.2251,"Birth"
"497","Adrian Griffin",37.7083,-97.2251,"High School"
"498","Adrian Griffin",40.7426,-74.24737,"College"
"499","Adrian Griffin",42.35843,-71.05977,"NBA"
"500","Adrian Griffin",32.78306,-96.80667,"NBA"
"501","Adrian Griffin",29.76328,-95.36327,"NBA"
"502","Adrian Griffin",41.85003,-87.65005,"NBA"
"503","Adrian Griffin",32.78306,-96.80667,"NBA"
"504","Adrian Griffin",41.85003,-87.65005,"NBA"
