Player,BirthDate,BirthCity,BirthState,HighSchoolCity,HighSchoolState,College,BirthLat,BirthLong,HSLat,HSLong,CollegeNameGood,CollegeLat,CollegeLong
A.C. Green,"October 4, 1963",Portland,Oregon,Portland,Oregon,Oregon State University,45.4691,-122.5535,45.4691,-122.5535,Oregon State University,44.04598,-123.07046
A.J. Bramlett,"January 10, 1977",Dekalb,Illinois,Albuquerque,New Mexico,University of Arizona,41.8963,-88.7442,35.0441,-106.8904,University of Arizona,32.23188,-110.95347
A.J. English,"July 11, 1967",Wilmington,Delaware,Wilmington,Delaware,Virginia Union University,39.7976,-75.5392,39.7976,-75.5392,Virginia Union University,37.56196,-77.45039
A.J. Guyton,"February 12, 1978",Peoria,Illinois,Peoria,Illinois,Indiana University,40.6999,-89.5951,40.6999,-89.5951,Indiana University,40.41226,-86.93668
A.J. Price,"October 7, 1986",Orange,New Jersey,Amityville,New York,University of Connecticut,40.7709,-74.2369,40.6862,-73.4123,University of Connecticut,41.31121,-72.92649
A.J. Wynder,"September 11, 1964",New York,New York,Rockville Centre,New York,Fairfield University,40.8424,-73.8556,40.6659,-73.6395,Fairfield University,41.16065,-73.25761
A.W. Holt,"August 26, 1946",none,none,none,none,Jackson State University,,,,,Jackson State University,42.18556,-122.69306
Aaron Brooks,"January 14, 1985",Seattle,Washington,Seattle,Washington,University of Oregon,47.6026,-122.3284,47.6026,-122.3284,University of Oregon,44.04598,-123.07046
Aaron Gray,"December 7, 1984",Tarzana,California,Emmaus,Pennsylvania,University of Pittsburgh,34.1553,-118.5476,40.5189,-75.5013,University of Pittsburgh,40.44285,-79.95922
Aaron James,"October 5, 1952",New Orleans,Louisiana,New Orleans,Louisiana,Grambling State University,29.9589,-90.1568,29.9589,-90.1568,Grambling State University,32.52425,-92.71599
Aaron McKie,"October 2, 1972",Philadelphia,Pennsylvania,Philadelphia,Pennsylvania,Temple University,39.9524,-75.1653,39.9524,-75.1653,Temple University,39.98095,-75.15296
Aaron Miles,"April 13, 1983",Portland,Oregon,Portland,Oregon,University of Kansas,45.4691,-122.5535,45.4691,-122.5535,University of Kansas,38.8134,-97.60949
Aaron Swinson,"January 9, 1971",Brunswick,Georgia,Brunswick,Georgia,Auburn University,31.1823,-81.4926,31.1823,-81.4926,Auburn University,32.60208,-85.48495
Aaron Williams,"October 2, 1971",Evanston,Illinois,Rolling Meadows,Illinois,Xavier University,42.0562,-87.7011,42.0678,-88.0185,Xavier University,39.14978,-84.478
Abdul Jeelani,"February 10, 1954",Bells,Tennessee,Racine,Wisconsin,University of Wisconsin-Parkside,35.6629,-89.1089,42.6929,-87.8043,University of Wisconsin-Parkside,42.6476,-87.85514
Acie Earl,"June 23, 1970",Peoria,Illinois,Moline,Illinois,University of Iowa,40.6999,-89.5951,41.486999999999995,-90.4773,University of Iowa,41.65502,-91.55684
Acie Law,"January 25, 1985",Dallas,Texas,Dallas,Texas,Texas A&M University,32.7825,-96.8207,32.7825,-96.8207,Texas A&M University,30.627979999999997,-96.33440999999999
Adam Harrington,"July 5, 1980",Bernardston,Massachusetts,Bernardston,Massachusetts,Auburn University,42.6906,-72.5832,42.6906,-72.5832,Auburn University,32.60208,-85.48495
Adam Keefe,"February 22, 1970",Irvine,California,Irvine,California,Stanford University,33.7011,-117.79700000000001,33.7011,-117.79700000000001,Stanford University,37.42716,-122.17024
